,Caps. Dia. [µm],Circularity,Core/Shell Ratio [vol.],Core Offset [µm],Total Agg.[%],Doublets [%],Triplets [%],> Triplets [%]
mean,838.990981647653,0.8961148036253775,0.41094528875379943,33.956584856870656,11.782477341389729,11.178247734138973,0.3021148036253776,0.3021148036253776
std,183.53554880059895,0.04981517614954684,0.08052636516646396,79.5036777996384,,,,
cv,0.21875747512823382,0.0555901720940347,0.19595398066409744,2.3413331503963626,,,,
