cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
16,15756.000,1487759.590,466.759,145.602,142.772,140.522,0.982,0.984,0.909,126.000,578.000,0.360,0.000,18
17,15816.000,1496265.922,469.789,153.388,152.925,132.229,0.982,0.861,0.901,138.000,2496.000,0.362,63.151,19
18,15344.000,1429788.123,456.617,144.180,140.965,138.593,0.987,0.983,0.925,156.000,3422.000,0.346,2.000,20
19,14812.000,1356077.016,450.960,140.982,137.861,136.808,0.984,0.992,0.915,172.000,860.000,0.328,0.000,21
20,14888.000,1366527.389,450.960,141.662,139.078,136.306,0.985,0.980,0.920,186.000,1404.000,0.331,0.000,22
21,16028.000,1526450.765,467.446,147.526,144.797,140.944,0.987,0.973,0.922,188.000,2238.000,0.369,0.000,23
22,16144.000,1543051.864,468.617,147.851,145.392,141.399,0.987,0.972,0.924,206.000,2746.000,0.373,0.000,24
23,14912.000,1369833.058,452.132,141.662,138.783,136.816,0.984,0.986,0.917,204.000,3224.000,0.332,2.000,26
24,15392.000,1436502.487,456.617,144.180,141.118,138.886,0.987,0.984,0.928,206.000,3768.000,0.348,2.000,27
25,16224.000,1554535.724,469.103,147.648,144.407,143.058,0.987,0.991,0.926,208.000,1620.000,0.376,2.000,25
26,15604.000,1466282.707,461.103,145.602,142.672,139.255,0.985,0.976,0.922,218.000,2034.000,0.355,0.000,28
27,15256.000,1417505.721,455.446,143.388,140.484,138.279,0.987,0.984,0.924,238.000,1828.000,0.343,2.000,29
28,14912.000,1369833.058,463.161,150.053,149.472,127.743,0.980,0.850,0.874,260.000,1200.000,0.332,62.032,30
29,15568.000,1461211.342,466.274,149.626,148.454,133.767,0.981,0.899,0.900,262.000,1076.000,0.354,62.000,30
30,16056.000,1530452.445,479.718,155.332,154.791,132.878,0.976,0.853,0.877,260.000,2470.000,0.370,61.612,19
31,15428.000,1441545.138,459.446,143.736,140.894,139.424,0.985,0.990,0.918,270.000,252.000,0.349,2.000,31
32,15388.000,1435942.556,474.215,156.064,154.657,127.367,0.977,0.819,0.860,302.000,3564.000,0.348,67.676,32
34,14504.000,1314000.368,448.617,146.328,144.501,128.052,0.983,0.884,0.906,318.000,500.000,0.318,61.612,33
35,15716.000,1482097.690,462.274,145.890,143.115,139.843,0.986,0.977,0.924,332.000,3048.000,0.359,2.000,35
36,16240.000,1556835.900,471.446,148.297,146.480,141.297,0.985,0.964,0.918,348.000,742.000,0.377,64.498,36
38,15812.000,1495698.330,465.103,146.779,143.699,140.104,0.984,0.975,0.919,394.000,3368.000,0.362,0.000,38
39,15536.000,1456708.382,479.718,154.208,153.807,129.620,0.967,0.836,0.848,406.000,1390.000,0.353,62.514,39
40,16316.000,1567777.203,471.931,147.959,145.199,143.079,0.985,0.985,0.921,402.000,2134.000,0.379,2.000,40
41,17152.000,1689802.515,496.701,161.059,162.624,135.736,0.979,0.826,0.874,404.000,3632.000,0.409,54.918,32
43,15204.000,1410264.558,454.274,144.139,140.781,137.510,0.987,0.977,0.926,418.000,1924.000,0.341,2.828,41
44,16556.000,1602495.899,478.960,155.756,154.841,136.667,0.983,0.879,0.907,424.000,1512.000,0.388,60.828,39
45,15212.000,1411377.778,455.446,142.394,139.563,138.787,0.985,0.994,0.922,430.000,2352.000,0.342,2.828,42
46,14040.000,1251452.764,444.818,148.647,147.654,121.677,0.982,0.820,0.892,436.000,526.000,0.303,59.228,33
47,15548.000,1458396.449,461.103,144.471,141.597,139.816,0.984,0.987,0.919,440.000,2574.000,0.353,0.000,43
48,14928.000,1372038.316,452.617,142.225,139.227,136.527,0.984,0.981,0.916,468.000,968.000,0.332,0.000,44
49,15740.000,1485493.967,463.931,147.472,144.742,138.463,0.985,0.957,0.919,472.000,3838.000,0.359,2.000,45
50,15152.000,1403035.768,455.446,145.066,142.215,135.665,0.985,0.954,0.918,474.000,298.000,0.340,0.000,46
51,14900.000,1368179.891,457.505,150.479,151.633,126.464,0.984,0.825,0.895,478.000,756.000,0.331,66.272,36
52,15712.000,1481531.896,462.274,146.820,144.113,138.820,0.987,0.963,0.924,484.000,1716.000,0.359,0.000,47
53,15420.000,1440424.040,459.446,144.180,141.285,138.972,0.985,0.984,0.918,486.000,1172.000,0.349,2.828,48
54,15920.000,1511048.470,465.103,146.492,143.168,141.583,0.986,0.989,0.925,506.000,3194.000,0.366,0.000,49
56,15224.000,1413048.158,462.475,151.420,151.831,128.601,0.983,0.841,0.894,608.000,3516.000,0.342,65.513,51
57,15436.000,1442666.526,459.931,145.671,142.626,137.811,0.984,0.966,0.917,616.000,144.000,0.349,0.000,52
58,15224.000,1413048.158,456.617,143.388,140.636,137.842,0.985,0.980,0.918,618.000,1958.000,0.342,2.000,53
59,15256.000,1417505.721,458.475,148.930,148.231,131.322,0.985,0.884,0.912,632.000,3644.000,0.343,64.777,51
60,15336.000,1428670.082,456.617,144.139,141.205,138.292,0.986,0.979,0.924,634.000,1544.000,0.346,0.000,54
61,16708.000,1624615.155,478.759,149.693,146.452,145.273,0.984,0.992,0.916,644.000,2590.000,0.393,2.828,55
62,15752.000,1487193.077,472.132,160.100,160.239,126.477,0.984,0.781,0.888,646.000,1316.000,0.360,60.828,57
63,16152.000,1544198.973,467.446,147.648,143.878,142.940,0.988,0.993,0.929,652.000,412.000,0.374,2.000,56
64,15472.000,1447716.371,459.446,144.997,142.075,138.661,0.985,0.976,0.921,666.000,1056.000,0.350,2.000,58
65,16020.000,1525308.070,470.759,146.123,143.706,141.945,0.983,0.988,0.908,674.000,2292.000,0.369,2.000,60
66,15992.000,1521310.882,466.274,147.092,144.633,140.785,0.987,0.973,0.924,676.000,3074.000,0.368,0.000,61
67,15992.000,1521310.882,467.446,147.078,143.824,141.592,0.986,0.984,0.920,686.000,3320.000,0.368,0.000,62
